2015-07-16 19:46:08.861087|INFO    |VirtualServer |  1| listening on 0.0.0.0:9987
2015-07-16 20:57:11.303547|INFO    |VirtualServer |  1| client (id:6) was added to servergroup 'Server Admin'(id:6) by client 'Drakown'(id:5)
2015-07-16 20:57:25.049016|INFO    |VirtualServer |  1| client 'sugo'(id:6) was added to channelgroup 'Channel Admin'(id:5) by client 'sugo'(id:6) in channel 'Welcome'(id:1)
2015-07-16 20:57:36.687230|INFO    |VirtualServer |  1| client 'Drakown'(id:5) was added to channelgroup 'Channel Admin'(id:5) by client 'Drakown'(id:5) in channel 'Welcome'(id:1)
2015-07-16 20:57:40.815418|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) with values (value:1) was added by 'Drakown'(id:5) for client (id:5) and channel 'Welcome'(id:1)
2015-07-16 20:58:02.064895|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) was deleted by 'Drakown'(id:5) for client (id:5) and channel 'Welcome'(id:1)
2015-07-16 20:58:03.822750|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) with values (value:1) was added by 'sugo'(id:6) for client (id:6) and channel 'Welcome'(id:1)
2015-07-16 20:58:05.871330|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) with values (value:1) was added by 'Drakown'(id:5) for client (id:5) and channel 'Welcome'(id:1)
2015-07-16 20:58:35.703080|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) was deleted by 'Drakown'(id:5) for client (id:5) and channel 'Welcome'(id:1)
2015-07-17 19:25:42.065995|INFO    |VirtualServer |  1| client (id:8) was added to servergroup 'Server Admin'(id:6) by client 'sugo'(id:6)
2015-08-16 16:43:51.032685|INFO    |VirtualServer |  1| client 'Legolas'(id:7) was added to channelgroup 'Channel Admin'(id:5) by client 'Drakown'(id:5) in channel 'Welcome'(id:1)
2015-08-16 16:43:59.841033|INFO    |VirtualServer |  1| client (id:7) was added to servergroup 'Server Admin'(id:6) by client 'Drakown'(id:5)
2015-08-16 18:22:06.134572|INFO    |VirtualServer |  1| client (id:10) was added to servergroup 'Server Admin'(id:6) by client 'sugo'(id:6)
2015-08-16 18:26:18.990126|INFO    |VirtualServer |  1| client 'Nagyapa'(id:10) was added to channelgroup 'Channel Admin'(id:5) by client 'Nagyapa'(id:10) in channel 'Welcome'(id:1)
2015-08-16 18:51:36.931089|INFO    |VirtualServer |  1| client (id:9) was added to servergroup 'Server Admin'(id:6) by client 'sugo'(id:6)
2015-08-16 18:51:43.309033|INFO    |VirtualServer |  1| client 'Globus'(id:9) was added to channelgroup 'Channel Admin'(id:5) by client 'Globus'(id:9) in channel 'Welcome'(id:1)
2015-08-16 18:51:47.753933|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) with values (value:1) was added by 'Globus'(id:9) for client (id:9) and channel 'Welcome'(id:1)
2015-08-16 18:51:59.806926|INFO    |VirtualServer |  1| permission 'b_client_is_priority_speaker'(id:177) was deleted by 'Globus'(id:9) for client (id:9) and channel 'Welcome'(id:1)
2015-08-16 19:22:53.490626|INFO    |VirtualServer |  1| client (id:11) was added to servergroup 'Server Admin'(id:6) by client 'sugo'(id:6)
2015-08-16 20:19:44.611699|INFO    |VirtualServer |  1| client 'Ombra'(id:8) was added to channelgroup 'Channel Admin'(id:5) by client 'Globus'(id:9) in channel 'Welcome'(id:1)
